DESODORANTE,ROLL ON 65 GR. FRESCURA SUAVE. PARA DAMA,OBAO,ARTS. PARA EL CUIDADO PERSONAL,BASICOS,24.50,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
DESODORANTE,BARRA 45 GR. POWDER. DRY. ANTITRANSPIRANTE. PARA DAMA,REXONA,ARTS. PARA EL CUIDADO PERSONAL,BASICOS,47.50,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
DESODORANTE,BARRA 50 GR. MEN ACTIVE. ANTITRANSPIRANTE. DRY. PARA CABALLERO,REXONA,ARTS. PARA EL CUIDADO PERSONAL,BASICOS,47.50,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
DESODORANTE,BARRA 60 GR. FRESH. PARA CABALLERO,SPEED STICK,ARTS. PARA EL CUIDADO PERSONAL,BASICOS,45.50,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
DESODORANTE,BARRA 60 GR. SPAZIO. PARA CABALLERO,STEFANO,ARTS. PARA EL CUIDADO PERSONAL,BASICOS,48.50,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
DETERGENTE P/TRASTES,BOTELLA 750 ML. LIQUIDO. LIMON,AXION,DETERGENTES Y PRODUCTOS SIMILARES,BASICOS,34.50,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
FORMULA LACTEA,PARA LACTANTE. LATA 400 GR.,NAN 1,LECHE PROCESADA,BASICOS,109.00,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
FORMULA LACTEA,PARA LACTANTE. LATA 400 GR.,NAN 2,LECHE PROCESADA,BASICOS,98.50,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
GALLETAS DULCES,PAQUETE 170 GR. TRIKI TRAKES,MARINELA,GALLETAS PASTAS Y HARINAS DE TRIGO,BASICOS,26.90,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
GALLETAS POPULARES,PAQUETE 170 GR. MARIAS,GAMESA,GALLETAS PASTAS Y HARINAS DE TRIGO,BASICOS,12.00,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
